iter	Passed	Remaining
709	876	357
710	877	356
711	878	355
712	879	354
713	880	352
714	882	351
715	883	350
716	884	349
717	885	347
718	886	346
719	887	345
720	888	343
721	889	342
722	891	341
723	892	340
724	893	338
725	894	337
726	895	336
727	896	335
728	897	333
729	899	332
730	900	331
731	901	330
732	902	328
733	903	327
734	904	326
735	905	324
736	906	323
737	908	322
738	909	321
739	910	319
740	911	318
741	912	317
742	913	316
743	915	314
744	916	313
745	917	312
746	918	311
747	919	309
748	920	308
749	921	307
750	923	306
751	924	304
752	925	303
753	926	302
754	927	301
755	928	299
756	929	298
757	931	297
758	932	296
759	933	294
760	934	293
761	935	292
762	936	290
763	937	289
764	939	288
765	940	287
766	941	285
767	942	284
768	943	283
769	944	282
770	946	280
771	947	279
772	948	278
773	949	277
774	950	276
775	951	274
776	953	273
777	954	272
778	955	271
779	956	269
780	958	268
781	960	267
782	961	266
783	962	265
784	964	264
785	965	262
786	966	261
787	967	260
788	969	259
789	970	257
790	971	256
791	972	255
792	973	254
793	975	252
794	976	251
795	977	250
796	978	249
797	979	247
798	980	246
799	981	245
800	982	244
801	983	242
802	985	241
803	986	240
804	987	239
805	988	237
806	989	236
807	990	235
808	991	234
809	992	232
810	993	231
811	995	230
812	996	229
813	997	227
814	998	226
815	999	225
816	1000	224
817	1002	222
818	1003	221
819	1004	220
820	1005	219
821	1007	218
822	1008	216
823	1009	215
824	1010	214
825	1012	213
826	1013	211
827	1014	210
828	1015	209
829	1016	208
830	1017	206
831	1018	205
832	1020	204
833	1021	203
834	1022	202
835	1023	200
836	1024	199
837	1025	198
838	1027	197
839	1028	195
840	1029	194
841	1030	193
842	1031	192
843	1032	190
844	1033	189
845	1035	188
846	1036	187
847	1037	185
848	1038	184
849	1039	183
850	1040	182
851	1042	181
852	1043	179
853	1044	178
854	1045	177
855	1046	176
856	1047	174
857	1048	173
858	1049	172
859	1050	171
860	1052	169
861	1053	168
862	1054	167
863	1055	166
864	1056	164
865	1057	163
866	1058	162
867	1059	161
868	1061	159
869	1062	158
870	1063	157
871	1064	156
872	1065	155
873	1066	153
874	1067	152
875	1069	151
876	1070	150
877	1071	148
878	1072	147
879	1073	146
880	1074	145
881	1075	143
882	1076	142
883	1078	141
884	1079	140
885	1080	138
886	1081	137
887	1082	136
888	1083	135
889	1084	134
890	1086	132
891	1087	131
892	1088	130
893	1089	129
894	1090	127
895	1091	126
896	1092	125
897	1094	124
898	1095	123
899	1096	121
900	1097	120
901	1098	119
902	1100	118
903	1101	116
904	1102	115
905	1103	114
906	1104	113
907	1105	112
908	1106	110
909	1108	109
910	1109	108
911	1110	107
912	1111	105
913	1112	104
914	1113	103
915	1114	102
916	1115	101
917	1117	99
918	1118	98
919	1119	97
920	1120	96
921	1121	94
922	1122	93
923	1123	92
924	1125	91
925	1126	90
926	1127	88
927	1128	87
928	1129	86
929	1130	85
930	1131	83
931	1132	82
932	1133	81
933	1135	80
934	1136	78
935	1137	77
936	1138	76
937	1139	75
938	1140	74
939	1142	72
940	1143	71
941	1144	70
942	1145	69
943	1146	68
944	1147	66
945	1148	65
946	1149	64
947	1150	63
948	1151	61
949	1153	60
950	1154	59
951	1155	58
952	1156	57
953	1157	55
954	1158	54
955	1160	53
956	1161	52
957	1162	50
958	1163	49
959	1164	48
960	1165	47
961	1166	46
962	1168	44
963	1169	43
964	1171	42
965	1172	41
966	1173	40
967	1174	38
968	1175	37
969	1176	36
970	1178	35
971	1179	33
972	1180	32
973	1181	31
974	1182	30
975	1183	29
976	1185	27
977	1186	26
978	1187	25
979	1188	24
980	1189	23
981	1190	21
982	1191	20
983	1193	19
984	1194	18
985	1195	16
986	1196	15
987	1197	14
988	1198	13
989	1199	12
990	1200	10
991	1201	9
992	1203	8
993	1204	7
994	1205	6
995	1206	4
996	1207	3
997	1209	2
998	1210	1
999	1211	0
